Step,State_Code,State_Name,Duration_Days,Total_Time
288,1,Ясно (1),1.8784,483.0288
289,2,Облачно (2),1.4914,484.5202
290,1,Ясно (1),3.5522,488.0723
291,2,Облачно (2),1.2819,489.3542
292,3,Пасмурно (3),2.6767,492.0309
293,1,Ясно (1),1.1339,493.1649
294,2,Облачно (2),0.164,493.3289
295,1,Ясно (1),1.1405,494.4693
296,3,Пасмурно (3),8.5872,503.0566
297,2,Облачно (2),0.6675,503.7241
298,3,Пасмурно (3),0.138,503.8622
299,2,Облачно (2),0.9401,504.8022
300,3,Пасмурно (3),1.2145,506.0167
301,2,Облачно (2),0.9007,506.9174
302,1,Ясно (1),1.1475,508.0649
303,2,Облачно (2),2.2883,510.3532
304,1,Ясно (1),0.6303,510.9835
305,2,Облачно (2),1.7869,512.7703
306,1,Ясно (1),0.1384,512.9087
307,2,Облачно (2),0.9268,513.8355
308,3,Пасмурно (3),1.7246,515.5601
309,2,Облачно (2),2.5965,518.1565
310,1,Ясно (1),0.0407,518.1972
311,2,Облачно (2),0.1732,518.3704
312,3,Пасмурно (3),0.27,518.6405
313,2,Облачно (2),0.4513,519.0918
314,1,Ясно (1),5.1551,524.2469
315,2,Облачно (2),2.712,526.9589
316,1,Ясно (1),1.1023,528.0613
317,2,Облачно (2),0.277,528.3383
318,3,Пасмурно (3),6.7858,535.1241
319,2,Облачно (2),1.2435,536.3676
320,3,Пасмурно (3),0.2961,536.6637
321,1,Ясно (1),2.1366,538.8003
322,2,Облачно (2),5.1285,543.9288
323,3,Пасмурно (3),1.4235,545.3523
324,2,Облачно (2),0.5474,545.8996
325,1,Ясно (1),0.4595,546.3592
326,3,Пасмурно (3),3.9142,550.2734
327,2,Облачно (2),0.2843,550.5576
328,3,Пасмурно (3),2.1675,552.7252
329,2,Облачно (2),0.4927,553.2179
330,3,Пасмурно (3),6.9057,560.1236
331,2,Облачно (2),3.4267,563.5503
332,1,Ясно (1),0.1449,563.6952
333,3,Пасмурно (3),10.0293,573.7245
334,2,Облачно (2),0.1251,573.8496
335,3,Пасмурно (3),1.2582,575.1079
336,2,Облачно (2),2.6842,577.7921
337,3,Пасмурно (3),1.2128,579.0049
338,1,Ясно (1),2.974,581.9789
339,2,Облачно (2),1.6551,583.634
340,3,Пасмурно (3),0.3828,584.0168
341,2,Облачно (2),0.5465,584.5632
342,1,Ясно (1),5.0773,589.6405
